epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04779,3.01269,4.57408,2.75903,0.01071,0.23768,0.01458,0.00341,3.1127,4.25382,3.03909,0.000361917,0.000361917,0.000361917
2,10.4784,2.83662,4.39497,2.60841,0.00381,0.34018,0.01864,0.00569,2.99786,4.20343,2.96861,0.000717751,0.000717751,0.000717751
3,14.8181,2.78565,4.28991,2.57455,0.35751,0.0294,0.03073,0.01308,2.88505,3.83104,2.86747,0.00105892,0.00105892,0.00105892
4,19.0442,2.75883,4.19226,2.5539,0.27399,0.05425,0.03504,0.01401,2.89891,3.65938,2.9043,0.00104501,0.00104501,0.00104501
5,23.277,2.68425,4.10741,2.50922,0.31616,0.08323,0.04939,0.01675,2.93179,3.61147,2.90861,0.00102301,0.00102301,0.00102301
6,27.6731,2.6711,4.0688,2.49204,0.3199,0.09696,0.05063,0.02034,2.8259,3.64661,2.85375,0.00100101,0.00100101,0.00100101
7,31.9552,2.6321,3.9689,2.45266,0.3274,0.09296,0.04867,0.02214,2.74988,3.59935,2.8307,0.000979013,0.000979013,0.000979013
8,36.5168,2.61442,3.9356,2.46255,0.33927,0.09284,0.05454,0.02308,2.78561,3.53976,2.73589,0.000957015,0.000957015,0.000957015
9,40.874,2.60036,3.89845,2.44849,0.33492,0.11078,0.05752,0.02328,2.81853,3.57817,2.76339,0.000935018,0.000935018,0.000935018
10,45.2267,2.60487,3.85368,2.45919,0.32378,0.09883,0.05143,0.01983,2.84537,3.61225,2.845,0.00091302,0.00091302,0.00091302
11,49.4251,2.60713,3.90304,2.46587,0.32361,0.09175,0.05256,0.02076,2.83592,3.61071,2.78912,0.000891022,0.000891022,0.000891022
12,53.7368,2.56948,3.83501,2.44032,0.38876,0.10445,0.06412,0.02456,2.80468,3.56664,2.76115,0.000869024,0.000869024,0.000869024
13,57.9548,2.56512,3.83708,2.41937,0.41558,0.11007,0.06308,0.01999,2.88478,3.54144,2.79181,0.000847026,0.000847026,0.000847026
14,62.2467,2.56482,3.80911,2.41586,0.39105,0.10217,0.07563,0.0272,2.78142,3.46007,2.72632,0.000825029,0.000825029,0.000825029
15,66.7228,2.54547,3.77994,2.41154,0.35973,0.11747,0.06672,0.02943,2.77132,3.58481,2.74171,0.000803031,0.000803031,0.000803031
16,70.9505,2.59433,3.80442,2.43396,0.38959,0.10743,0.07409,0.02853,2.77691,3.52576,2.73551,0.000781033,0.000781033,0.000781033
17,75.3653,2.57272,3.78215,2.4184,0.39865,0.10198,0.08127,0.03215,2.69159,3.47224,2.68463,0.000759035,0.000759035,0.000759035
18,79.7049,2.54626,3.80133,2.40809,0.41364,0.11477,0.08389,0.02855,2.80081,3.47971,2.74388,0.000737037,0.000737037,0.000737037
19,84.0158,2.5384,3.78262,2.40366,0.37011,0.11065,0.07213,0.02668,2.75768,3.45559,2.71412,0.00071504,0.00071504,0.00071504
20,88.3556,2.54642,3.77741,2.39545,0.3417,0.11404,0.0688,0.02857,2.7763,3.50792,2.75367,0.000693042,0.000693042,0.000693042
21,92.7035,2.49885,3.73593,2.37889,0.40589,0.10946,0.07523,0.03211,2.80546,3.48138,2.77733,0.000671044,0.000671044,0.000671044
22,97.1731,2.49152,3.71328,2.36573,0.37274,0.11962,0.07318,0.03326,2.77337,3.47454,2.73444,0.000649046,0.000649046,0.000649046
23,101.508,2.50169,3.71817,2.38592,0.39547,0.12646,0.07885,0.03401,2.79898,3.4386,2.72328,0.000627048,0.000627048,0.000627048
