epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.58431,0.71531,4.0429,1.03344,0.00513,1,0.29685,0.21577,0.72232,2.76905,0.96702,0.0002,0.0002,0.0002
2,4.37261,0.79268,3.48442,0.99645,0.00513,1,0.31299,0.18988,0.76778,2.75476,0.99068,0.000415842,0.000415842,0.000415842
3,6.18241,0.64988,2.74739,0.90816,0.00487,0.95,0.17922,0.10004,1.33804,3.16487,1.44935,0.000627328,0.000627328,0.000627328
4,7.81622,0.69529,2.47474,0.96955,0.00513,1,0.39497,0.21191,1.14903,2.99243,1.43977,0.000834458,0.000834458,0.000834458
5,9.62524,0.66076,2.08906,0.89208,0.00513,1,0.02793,0.01263,1.73731,3.48354,1.77898,0.00103723,0.00103723,0.00103723
6,11.385,0.71364,2.02563,0.9696,0.00462,0.9,0.07664,0.03876,1.77249,3.47813,2.1637,0.00123565,0.00123565,0.00123565
7,13.3971,0.71092,2.17543,0.95644,0.00487,0.95,0.10386,0.05486,1.87948,3.53238,2.19826,0.00142971,0.00142971,0.00142971
8,15.0626,0.72708,1.73191,0.96253,0.3449,0.15,0.19237,0.09913,1.82787,3.26701,2.61983,0.00161942,0.00161942,0.00161942
9,16.6393,0.72311,2.46555,0.97238,0.32759,0.1,0.09372,0.04859,1.86151,3.38648,2.58724,0.00180477,0.00180477,0.00180477
10,18.2859,0.76322,1.96299,1.0055,0.05838,0.2,0.0309,0.01262,2.08172,3.43498,3.05951,0.0018218,0.0018218,0.0018218
11,19.9507,0.75141,1.62602,0.98131,0.19479,0.3,0.1218,0.05393,2.46063,3.2867,3.62744,0.001802,0.001802,0.001802
12,21.5833,0.69323,1.83644,0.94059,0.07427,0.2,0.05242,0.01811,2.27549,3.26058,2.60122,0.0017822,0.0017822,0.0017822
13,23.173,0.7024,1.54056,0.94226,0.08156,0.05,0.04885,0.01328,2.03296,3.2516,2.41268,0.0017624,0.0017624,0.0017624
14,24.796,0.70457,1.48947,0.98043,0.20754,0.05283,0.08955,0.04026,2.19364,2.94976,2.35179,0.0017426,0.0017426,0.0017426
15,26.3943,0.66758,1.22316,0.93538,0.27892,0.2,0.10154,0.04121,2.26967,3.01775,2.77823,0.0017228,0.0017228,0.0017228
16,28.0868,0.76868,1.33509,1.01263,0.0924,0.1,0.02192,0.00704,2.77433,3.76926,3.09753,0.001703,0.001703,0.001703
17,29.7168,0.68777,1.20767,0.95803,0.05021,0.1,0.01302,0.00426,2.96445,3.82615,3.26046,0.0016832,0.0016832,0.0016832
18,31.6074,0.71502,1.27643,0.95184,0.00333,0.65,0.00597,0.00136,2.51635,3.51611,2.9955,0.0016634,0.0016634,0.0016634
19,33.2393,0.75981,1.1018,0.93635,0.12692,0.05,0.01583,0.00596,2.50174,3.50106,3.07984,0.0016436,0.0016436,0.0016436
20,34.8723,0.60483,1.03833,0.9226,0.00205,0.4,0.00204,0.00102,2.83508,4.05661,3.2408,0.0016238,0.0016238,0.0016238
21,36.4608,0.61209,0.96478,0.92826,0.00077,0.15,0.0006,0.00017,4.06266,4.50773,4.31744,0.001604,0.001604,0.001604
22,38.1688,0.59327,0.95708,0.93648,0.00103,0.2,0.00077,0.00014,3.4864,4.55278,3.66527,0.0015842,0.0015842,0.0015842
23,39.8335,0.56092,0.87252,0.91386,0.05778,0.3,0.03654,0.01447,2.73461,3.30541,3.24619,0.0015644,0.0015644,0.0015644
24,41.4753,0.64798,0.99452,0.97158,0.12208,0.2,0.0945,0.04328,2.29905,2.88286,3.11451,0.0015446,0.0015446,0.0015446
25,43.1176,0.55204,0.73989,0.89777,0.27242,0.1,0.07262,0.03048,2.39297,3.01222,3.23788,0.0015248,0.0015248,0.0015248
26,44.8135,0.54522,0.80012,0.88101,0.16739,0.3,0.066,0.02198,2.52988,3.02525,2.96544,0.001505,0.001505,0.001505
27,46.4483,0.56115,0.76672,0.89112,0.00374,0.7,0.00557,0.00209,2.69114,3.45774,2.95012,0.0014852,0.0014852,0.0014852
28,48.1267,0.54575,0.75153,0.88149,0.00457,0.85,0.03782,0.01243,2.40067,3.35119,2.61439,0.0014654,0.0014654,0.0014654
29,49.9713,0.60836,0.80763,0.91123,0.21858,0.2,0.16441,0.04941,2.4219,2.80506,2.9904,0.0014456,0.0014456,0.0014456
30,51.5824,0.54739,0.79825,0.90567,0.32687,0.2,0.10148,0.03739,2.18015,3.16342,2.87627,0.0014258,0.0014258,0.0014258
31,53.2164,0.53203,0.73572,0.9048,0.21953,0.18351,0.10037,0.031,2.29522,3.21141,3.17444,0.001406,0.001406,0.001406
32,54.8517,0.49178,0.75142,0.88008,0.0053,0.8,0.04676,0.0134,2.46956,3.62034,3.08763,0.0013862,0.0013862,0.0013862
33,56.5235,0.50947,0.65485,0.88025,0.00584,0.75,0.03162,0.00884,2.41859,3.68805,3.15232,0.0013664,0.0013664,0.0013664
34,58.1986,0.54216,0.70138,0.90675,0.0112,0.75,0.07992,0.01985,2.63816,3.47534,3.17871,0.0013466,0.0013466,0.0013466
35,59.8707,0.52936,0.64349,0.90758,0.19109,0.15,0.05339,0.02555,2.62689,3.43841,3.01688,0.0013268,0.0013268,0.0013268
36,61.5556,0.52303,0.80215,0.89628,0.31653,0.15,0.06611,0.03548,2.83364,3.32845,3.04304,0.001307,0.001307,0.001307
37,63.1982,0.51608,0.64999,0.90521,0.26553,0.15,0.08365,0.04945,2.69267,3.36138,2.8175,0.0012872,0.0012872,0.0012872
38,64.816,0.55637,0.68885,0.90308,0.35486,0.15,0.07465,0.04037,2.3003,3.64531,2.8325,0.0012674,0.0012674,0.0012674
