epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.81195,0.64415,4.13324,0.94823,0.00513,1,0.39028,0.24421,0.70034,2.78083,1.01461,0.00022,0.00022,0.00022
2,3.44291,0.75415,3.00992,0.99226,0.00513,1,0.42832,0.22489,0.90058,2.74137,1.10078,0.000457723,0.000457723,0.000457723
3,4.99024,0.73927,3.00322,0.97592,0.00513,1,0.34219,0.22567,0.88326,2.67037,1.13968,0.00069307,0.00069307,0.00069307
4,6.56392,0.7582,2.66547,0.99272,0.10688,0.05,0.18944,0.11711,1.13297,2.84048,1.31284,0.000926041,0.000926041,0.000926041
5,8.0995,0.79344,2.63376,1.00216,0.38892,0.45,0.35285,0.18286,1.18016,2.73675,1.37381,0.00115664,0.00115664,0.00115664
6,9.64907,0.81117,2.24853,0.99949,0.40693,0.55,0.43606,0.22141,1.24114,2.43835,1.46781,0.00138485,0.00138485,0.00138485
7,11.1715,0.79545,2.11455,1.00106,0.3719,0.45,0.39996,0.1982,1.3897,2.6321,1.99991,0.0016107,0.0016107,0.0016107
8,12.6566,0.77094,2.06222,0.99338,0.41152,0.75,0.41072,0.19173,1.39117,2.53996,1.75843,0.00183416,0.00183416,0.00183416
9,14.1639,0.75664,1.86297,0.98417,0.49556,0.6,0.467,0.21593,1.24025,2.73942,1.48853,0.0019208,0.0019208,0.0019208
10,16.396,0.82997,1.70935,1.02318,0.51107,0.7843,0.61612,0.37729,1.20233,3.77212,1.67777,0.0019109,0.0019109,0.0019109
11,17.9444,0.78418,1.61965,0.97426,0.28318,0.65,0.34379,0.18117,1.34837,3.3314,1.7857,0.001901,0.001901,0.001901
12,19.4433,0.76524,1.4559,0.94918,0.42639,0.45,0.39428,0.19886,1.50371,4.25895,1.92182,0.0018911,0.0018911,0.0018911
13,20.9233,0.82502,1.56336,0.99038,0.43421,0.75,0.47057,0.28149,1.27864,3.31595,1.63971,0.0018812,0.0018812,0.0018812
14,22.3842,0.7553,1.29028,1.00101,0.49719,0.75,0.46949,0.29613,1.10189,2.05663,1.37156,0.0018713,0.0018713,0.0018713
15,23.8724,0.66835,1.17627,0.94755,0.48008,0.8,0.51865,0.32292,1.1124,2.26967,1.38009,0.0018614,0.0018614,0.0018614
16,25.3965,0.66109,1.12932,0.93337,0.45688,0.95,0.61266,0.41826,1.05205,3.24198,1.37695,0.0018515,0.0018515,0.0018515
17,26.9223,0.71412,1.13705,0.98013,0.39203,0.8,0.44911,0.27836,1.18985,1.87743,1.48367,0.0018416,0.0018416,0.0018416
