epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40144,0.93238,2.87836,1.26898,0.00513,1,0.02482,0.01457,0.64081,2.80593,0.99222,0,0,0
2,1.78219,0.76163,2.91851,1.27058,0.00513,1,0.024,0.01401,0.63817,2.80417,0.99098,1.9901e-05,1.9901e-05,1.9901e-05
3,2.26711,0.75101,3.03594,1.21023,0.00513,1,0.02515,0.01509,0.6366,2.7991,0.99029,3.9604e-05,3.9604e-05,3.9604e-05
4,2.72132,0.88353,2.92751,1.15166,0.00513,1,0.03528,0.0179,0.62658,2.79242,0.98308,5.9109e-05,5.9109e-05,5.9109e-05
5,3.18632,0.59412,2.66106,1.0864,0.00513,1,0.04177,0.02901,0.61171,2.78449,0.972,7.8416e-05,7.8416e-05,7.8416e-05
6,3.68817,0.62233,2.63637,1.08342,0.00513,1,0.08377,0.05987,0.6319,2.76361,0.97132,9.7525e-05,9.7525e-05,9.7525e-05
7,4.32686,0.76964,2.8276,1.27005,0.00513,1,0.11352,0.08725,0.62932,2.76365,0.97443,0.000116436,0.000116436,0.000116436
8,4.80664,0.6814,2.63343,1.098,0.00513,1,0.23705,0.16776,0.64407,2.75908,0.98077,0.000135149,0.000135149,0.000135149
9,5.3004,0.53952,2.44473,0.94916,0.00513,1,0.39586,0.29488,0.63566,2.74483,0.9818,0.000153664,0.000153664,0.000153664
10,5.79956,0.61071,2.52502,1.04286,0.00513,1,0.55121,0.42533,0.63765,2.73222,0.97225,0.000171981,0.000171981,0.000171981
11,6.29323,0.47954,2.34796,0.90478,0.00513,1,0.55641,0.43101,0.63895,2.69045,0.96752,0.0001901,0.0001901,0.0001901
12,6.77453,0.59622,2.28044,0.96398,0.00513,1,0.6289,0.47393,0.62807,2.67449,0.94404,0.000208021,0.000208021,0.000208021
13,7.2802,0.86618,2.50968,1.21908,0.00513,1,0.65992,0.4894,0.63376,2.66639,0.94267,0.000225744,0.000225744,0.000225744
14,7.75791,0.66553,2.23979,1.07122,0.00513,1,0.68651,0.49892,0.63379,2.65836,0.95959,0.000243269,0.000243269,0.000243269
