epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20126,1.1054,3.69804,1.4095,0.00582,0.38189,0.01957,0.01454,0.90599,3.6719,1.15054,1.111e-05,1.111e-05,1.111e-05
2,2.87454,0.96644,3.54327,1.27521,0.00746,0.34318,0.02002,0.01607,0.90677,3.67153,1.15425,3.322e-05,3.322e-05,3.322e-05
3,3.49971,0.87781,3.71577,1.31792,0.00869,0.33028,0.02316,0.01911,0.90589,3.67027,1.15729,5.51834e-05,5.51834e-05,5.51834e-05
4,4.14533,0.85092,3.71772,1.22598,0.00931,0.33028,0.02625,0.02247,0.9069,3.6678,1.1617,7.70001e-05,7.70001e-05,7.70001e-05
5,4.80479,0.85649,3.59001,1.17093,0.01095,0.33404,0.02485,0.02022,0.91893,3.66899,1.167,9.86701e-05,9.86701e-05,9.86701e-05
6,5.43,0.94706,3.55958,1.29543,0.0079,0.31738,0.02254,0.01821,0.91929,3.67191,1.16737,0.000120194,0.000120194,0.000120194
7,6.02224,0.86877,3.54887,1.19227,0.0109,0.33404,0.03185,0.02445,0.92536,3.6722,1.16797,0.00014157,0.00014157,0.00014157
8,6.6804,0.98897,3.58534,1.36101,0.0125,0.33404,0.03738,0.02806,0.93149,3.67181,1.17011,0.0001628,0.0001628,0.0001628
9,7.32275,0.87848,3.56902,1.22058,0.01186,0.33404,0.04197,0.03299,0.93295,3.67158,1.17595,0.000183884,0.000183884,0.000183884
10,8.08636,0.99646,3.72609,1.33358,0.01072,0.33404,0.04763,0.0382,0.93938,3.67137,1.17867,0.000204821,0.000204821,0.000204821
11,8.68469,0.82154,3.45162,1.18736,0.00808,0.32759,0.04744,0.03865,0.93937,3.67394,1.17805,0.000225611,0.000225611,0.000225611
12,9.29711,0.91209,3.50832,1.26783,0.00716,0.32759,0.05319,0.042,0.9389,3.67264,1.17782,0.000246254,0.000246254,0.000246254
13,9.95576,0.81705,3.43727,1.23748,0.0066,0.32759,0.05788,0.04583,0.94512,3.67261,1.18061,0.000266751,0.000266751,0.000266751
14,10.5666,0.77594,3.52877,1.19105,0.01027,0.35071,0.06079,0.04744,0.951,3.67219,1.18445,0.000287101,0.000287101,0.000287101
15,11.1919,0.90954,3.55545,1.26122,0.01451,0.40716,0.07752,0.06102,0.96404,3.67069,1.19425,0.000307305,0.000307305,0.000307305
16,11.8127,0.81745,3.46475,1.20889,0.01942,0.42652,0.08608,0.06921,0.97497,3.66831,1.19658,0.000327362,0.000327362,0.000327362
17,12.418,0.86528,3.30738,1.26932,0.02183,0.47275,0.10352,0.08028,0.98541,3.66551,1.19714,0.000347272,0.000347272,0.000347272
18,13.0434,0.86264,3.37444,1.22147,0.0195,0.47275,0.10871,0.08591,0.99308,3.66586,1.19726,0.000367036,0.000367036,0.000367036
19,13.8349,0.83595,3.46637,1.2434,0.01979,0.50877,0.12027,0.09302,1.00774,3.66326,1.20762,0.000386652,0.000386652,0.000386652
20,14.4589,0.9995,3.39473,1.38759,0.01788,0.51523,0.12191,0.0957,1.01239,3.66417,1.21127,0.000406123,0.000406123,0.000406123
21,15.0887,0.84496,3.35985,1.29742,0.01691,0.5448,0.12613,0.09781,1.01793,3.6605,1.21432,0.000425446,0.000425446,0.000425446
22,15.7021,0.86379,3.26016,1.28537,0.01516,0.56791,0.13151,0.10251,1.02094,3.65978,1.2179,0.000444623,0.000444623,0.000444623
23,16.3258,0.92979,3.27334,1.27736,0.01317,0.55125,0.14079,0.11216,1.03013,3.65058,1.22671,0.000463654,0.000463654,0.000463654
24,16.9656,0.89841,3.27601,1.22504,0.01126,0.55125,0.13894,0.11079,1.03954,3.64087,1.2322,0.000482537,0.000482537,0.000482537
25,17.5922,0.86147,3.21877,1.2901,0.00987,0.56791,0.14348,0.11283,1.0464,3.63288,1.23685,0.000501274,0.000501274,0.000501274
26,18.2096,0.878,3.12687,1.26086,0.00887,0.56791,0.1425,0.11299,1.0501,3.62398,1.23859,0.000519865,0.000519865,0.000519865
27,18.8446,0.90887,3.09119,1.23312,0.00772,0.56791,0.14475,0.11564,1.04838,3.60477,1.24031,0.000538308,0.000538308,0.000538308
28,19.5962,1.06439,3.14143,1.37596,0.00772,0.56791,0.14475,0.11564,1.04838,3.60477,1.24031,0.000556605,0.000556605,0.000556605
29,20.2142,0.8645,3.04531,1.23817,0.00683,0.56791,0.14614,0.12049,1.05037,3.58772,1.24587,0.000574756,0.000574756,0.000574756
30,20.8352,0.95579,3.08478,1.30565,0.00606,0.56791,0.14977,0.12193,1.05471,3.56593,1.24741,0.00059276,0.00059276,0.00059276
31,21.4338,1.03459,3.02315,1.36559,0.00606,0.56791,0.14977,0.12193,1.05471,3.56593,1.24741,0.000610617,0.000610617,0.000610617
32,22.0549,0.90573,3.09116,1.31983,0.0053,0.56791,0.15051,0.11873,1.0565,3.54338,1.25008,0.000628327,0.000628327,0.000628327
33,22.6679,0.91127,3.02587,1.28118,0.00501,0.57437,0.15554,0.12126,1.06643,3.52923,1.24515,0.000645891,0.000645891,0.000645891
34,23.2483,0.86476,3.04736,1.2275,0.00501,0.57437,0.15554,0.12126,1.06643,3.52923,1.24515,0.000663308,0.000663308,0.000663308
35,23.8495,0.89374,2.80892,1.20881,0.0048,0.58082,0.15508,0.11917,1.07502,3.50089,1.24611,0.000680579,0.000680579,0.000680579
36,24.4353,1.0006,2.93182,1.31691,0.00451,0.58082,0.1561,0.11857,1.08003,3.47182,1.255,0.000697702,0.000697702,0.000697702
37,25.0301,0.82304,2.81381,1.15371,0.00451,0.58082,0.1561,0.11857,1.08003,3.47182,1.255,0.00071468,0.00071468,0.00071468
38,25.7655,1.00043,2.87346,1.40284,0.00425,0.58082,0.1579,0.11845,1.09219,3.43942,1.26042,0.00073151,0.00073151,0.00073151
39,26.3675,0.92956,2.88327,1.31039,0.00406,0.58082,0.16132,0.11949,1.12709,3.41144,1.27032,0.000748194,0.000748194,0.000748194
40,26.9779,0.97384,2.84612,1.34432,0.00406,0.58082,0.16132,0.11949,1.12709,3.41144,1.27032,0.000764731,0.000764731,0.000764731
41,27.5884,0.99841,2.77705,1.35465,0.00383,0.57437,0.17924,0.11741,1.16219,3.38487,1.28789,0.000781122,0.000781122,0.000781122
42,28.2079,0.92952,2.66139,1.21353,0.13695,0.30247,0.18313,0.12491,1.18452,3.33356,1.28842,0.000797366,0.000797366,0.000797366
43,28.8194,0.95563,2.74627,1.29695,0.13695,0.30247,0.18313,0.12491,1.18452,3.33356,1.28842,0.000813463,0.000813463,0.000813463
44,29.4385,0.90002,2.74648,1.23809,0.5155,0.13502,0.18593,0.12245,1.2026,3.29045,1.29858,0.000829414,0.000829414,0.000829414
45,30.0778,0.97301,2.75782,1.22085,0.5155,0.13502,0.18593,0.12245,1.2026,3.29045,1.29858,0.000845218,0.000845218,0.000845218
46,30.6804,0.98498,2.68624,1.29309,0.53098,0.14158,0.18884,0.12667,1.22248,3.23708,1.31171,0.000860875,0.000860875,0.000860875
47,31.2978,0.90968,2.70121,1.30443,0.53098,0.14158,0.18884,0.12667,1.22248,3.23708,1.31171,0.000876386,0.000876386,0.000876386
48,32.0479,0.84973,2.62853,1.26932,0.54321,0.14673,0.19354,0.13172,1.24473,3.18222,1.33198,0.00089175,0.00089175,0.00089175
49,32.6483,0.91987,2.61491,1.24912,0.54321,0.14673,0.19354,0.13172,1.24473,3.18222,1.33198,0.000906967,0.000906967,0.000906967
50,33.2562,0.88537,2.36806,1.2024,0.42965,0.14724,0.18352,0.13676,1.25303,3.13164,1.34673,0.000922038,0.000922038,0.000922038
51,33.8385,0.91792,2.54262,1.27768,0.42965,0.14724,0.18352,0.13676,1.25303,3.13164,1.34673,0.000927685,0.000927685,0.000927685
52,34.4805,0.99427,2.54772,1.2824,0.21358,0.16321,0.18883,0.14191,1.2881,3.10458,1.3696,0.000924019,0.000924019,0.000924019
53,35.0757,0.87235,2.45063,1.2084,0.21358,0.16321,0.18883,0.14191,1.2881,3.10458,1.3696,0.000920352,0.000920352,0.000920352
54,35.6998,0.82264,2.51548,1.25658,0.24655,0.19348,0.1903,0.13928,1.28665,3.06136,1.38705,0.000916686,0.000916686,0.000916686
55,36.2718,0.92571,2.68316,1.28329,0.24655,0.19348,0.1903,0.13928,1.28665,3.06136,1.38705,0.00091302,0.00091302,0.00091302
56,37.0287,1.13802,2.48738,1.3742,0.25633,0.20976,0.19519,0.14415,1.29705,3.02743,1.39524,0.000909353,0.000909353,0.000909353
57,37.6262,0.95462,2.4292,1.28294,0.25633,0.20976,0.19519,0.14415,1.29705,3.02743,1.39524,0.000905687,0.000905687,0.000905687
58,38.2511,0.88857,2.25343,1.21308,0.27953,0.22849,0.19934,0.14298,1.32409,2.99965,1.40725,0.000902021,0.000902021,0.000902021
59,38.8452,0.96844,2.407,1.32604,0.27953,0.22849,0.19934,0.14298,1.32409,2.99965,1.40725,0.000898355,0.000898355,0.000898355
60,39.4424,0.82446,2.29556,1.21029,0.24799,0.22849,0.19464,0.14335,1.32489,2.9778,1.42628,0.000894688,0.000894688,0.000894688
61,40.0468,0.83199,2.33314,1.19862,0.24799,0.22849,0.19464,0.14335,1.32489,2.9778,1.42628,0.000891022,0.000891022,0.000891022
62,40.6534,0.89736,2.29349,1.19777,0.25252,0.26183,0.192,0.14112,1.31308,2.93906,1.42522,0.000887356,0.000887356,0.000887356
63,41.2523,0.72133,2.07059,1.14666,0.25252,0.26183,0.192,0.14112,1.31308,2.93906,1.42522,0.000883689,0.000883689,0.000883689
64,41.8606,0.86333,2.27171,1.18156,0.26366,0.23508,0.19449,0.13783,1.31063,2.92503,1.42521,0.000880023,0.000880023,0.000880023
65,42.467,0.91952,2.30439,1.30722,0.26366,0.23508,0.19449,0.13783,1.31063,2.92503,1.42521,0.000876357,0.000876357,0.000876357
66,43.2363,0.91651,2.33186,1.27054,0.43973,0.22988,0.19698,0.13892,1.30989,2.91789,1.4338,0.000872691,0.000872691,0.000872691
67,43.822,0.82188,2.14511,1.18201,0.43973,0.22988,0.19698,0.13892,1.30989,2.91789,1.4338,0.000869024,0.000869024,0.000869024
