Thu Jul 10 07:49:21 2025    results.prof

         4680484 function calls (4609963 primitive calls) in 79.901 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   5450/1    0.293    0.000   80.252   80.252 {built-in method builtins.exec}
        1    0.000    0.000   80.251   80.251 Cut-and-Paste/dataset_generator.py:1(<module>)
  5990/17    0.417    0.000   67.745    3.985 <frozen importlib._bootstrap>:1022(_find_and_load)
  3284/17    0.143    0.000   67.740    3.985 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  4116/20    0.058    0.000   67.701    3.385 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  3174/20    0.144    0.000   67.695    3.385 <frozen importlib._bootstrap>:664(_load_unlocked)
  2993/18    0.068    0.000   67.685    3.760 <frozen importlib._bootstrap_external>:877(exec_module)
 1124/151    0.019    0.000   60.311    0.399 {built-in method builtins.__import__}
 3149/321    0.151    0.000   59.348    0.185 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000   24.082   24.082 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torchvision/__init__.py:1(<module>)
        1    0.000    0.000   22.513   22.513 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torchvision/models/__init__.py:1(<module>)
        1    0.000    0.000   21.327   21.327 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torchvision/models/convnext.py:1(<module>)
        1    0.000    0.000   21.292   21.292 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torchvision/ops/__init__.py:1(<module>)
        1    0.000    0.000   20.141   20.141 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torchvision/ops/poolers.py:1(<module>)
        1    0.000    0.000   20.131   20.131 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torchvision/ops/roi_align.py:1(<module>)
        1    0.000    0.000   20.126   20.126 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/__init__.py:1(<module>)
        1    0.000    0.000   18.774   18.774 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/pietorch/__init__.py:1(<module>)
        1    0.000    0.000   15.840   15.840 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/pietorch/functional.py:1(<module>)
        1    0.047    0.047   15.831   15.831 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/__init__.py:1(<module>)
6729/6511    0.317    0.000   15.718    0.002 {built-in method builtins.__build_class__}
        1    0.001    0.001   14.453   14.453 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
        1    0.001    0.001   14.433   14.433 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/symbolic_convert.py:1(<module>)
        1    0.001    0.001   12.511   12.511 Cut-and-Paste/dataset_generator.py:470(generate_synthetic_dataset)
        1    0.000    0.000   12.424   12.424 Cut-and-Paste/dataset_generator.py:380(gen_syn_data)
        1    0.002    0.002   12.019   12.019 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/pyplot.py:1(<module>)
        1    0.019    0.019   11.053   11.053 Cut-and-Paste/dataset_generator.py:203(create_image_anno_wrapper)
        1    0.019    0.019   11.034   11.034 Cut-and-Paste/dataset_generator.py:207(create_image_anno)
      801    9.306    0.012    9.306    0.012 {built-in method numpy.array}
        1    0.000    0.000    9.014    9.014 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/exc.py:1(<module>)
        1    0.001    0.001    9.003    9.003 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/utils.py:1(<module>)
      106    0.006    0.000    8.496    0.080 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:158(_update_set_signature_and_docstring)
      105    0.004    0.000    8.353    0.080 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:125(__init_subclass__)
        1    0.010    0.010    8.251    8.251 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_meta_registrations.py:1(<module>)
        1    0.000    0.000    7.451    7.451 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/src/Cut-and-Paste/pyblur_master/pyblur/__init__.py:1(<module>)
        1    0.000    0.000    7.448    7.448 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/src/Cut-and-Paste/pyblur_master/pyblur/LinearMotionBlur.py:1(<module>)
        1    0.000    0.000    7.417    7.417 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/__init__.py:1(<module>)
        5    0.000    0.000    7.278    1.456 Cut-and-Paste/dataset_generator.py:195(PIL2array3C)
  2752/82    0.058    0.000    7.157    0.087 /usr/lib/python3.10/importlib/__init__.py:108(import_module)
  2752/82    0.059    0.000    7.155    0.087 <frozen importlib._bootstrap>:1038(_gcd_import)
      120    0.005    0.000    6.795    0.057 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1832(kwdoc)
      126    0.010    0.000    6.718    0.053 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/library.py:187(_register_fake)
        1    0.001    0.001    6.563    6.563 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/fx/experimental/symbolic_shapes.py:1(<module>)
      243    0.026    0.000    6.444    0.027 /usr/lib/python3.10/inspect.py:932(findsource)
      126    0.003    0.000    6.400    0.051 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_library/utils.py:45(get_source)
      126    0.008    0.000    6.396    0.051 /usr/lib/python3.10/inspect.py:1604(getframeinfo)
        1    0.000    0.000    6.393    6.393 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_decomp/__init__.py:1(<module>)
  471/469    0.217    0.000    6.339    0.014 /usr/lib/python3.10/inspect.py:850(getmodule)
        1    0.000    0.000    6.331    6.331 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/_peak_finding.py:1(<module>)
        1    0.001    0.001    6.323    6.323 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/__init__.py:1(<module>)
        1    0.001    0.001    6.271    6.271 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/utils/_sympy/functions.py:1(<module>)
        1    0.000    0.000    6.266    6.266 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/figure.py:1(<module>)
        1    0.001    0.001    6.028    6.028 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/__init__.py:1(<module>)
        1    0.000    0.000    5.951    5.951 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/projections/__init__.py:1(<module>)
      120    0.100    0.001    5.701    0.048 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1593(pprint_setters)
        1    0.001    0.001    5.436    5.436 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/polyfills/loader.py:1(<module>)
        9    0.000    0.000    5.425    0.603 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/polyfills/loader.py:25(<genexpr>)
       21    0.003    0.000    5.389    0.257 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/decorators.py:354(wrapper)
        1    0.000    0.000    5.343    5.343 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/polyfills/builtins.py:1(<module>)
        1    0.022    0.022    5.318    5.318 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2864(get_torch_obj_rule_map)
     7680    2.711    0.000    5.316    0.001 /usr/lib/python3.10/inspect.py:744(cleandoc)
     2663    0.112    0.000    5.291    0.002 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2893(load_object)
        1    0.001    0.001    5.196    5.196 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:1(<module>)
        1    0.010    0.010    5.074    5.074 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_decomp/decompositions.py:1(<module>)
        1    0.002    0.002    4.900    4.900 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_stats_py.py:1(<module>)
     4409    0.286    0.000    4.682    0.001 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1461(get_valid_values)
      124    0.006    0.000    4.575    0.037 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_library/custom_ops.py:145(inner)
