Thu Jul 10 23:50:00 2025    results.prof

         2014028 function calls (1980186 primitive calls) in 77.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1153/1    0.052    0.000   77.467   77.467 {built-in method builtins.exec}
        1    0.000    0.000   77.467   77.467 Cut-and-Paste/dataset_generator.py:1(<module>)
        1    0.000    0.000   48.261   48.261 Cut-and-Paste/dataset_generator.py:504(generate_synthetic_dataset)
        1    0.002    0.002   48.139   48.139 Cut-and-Paste/dataset_generator.py:410(gen_syn_data)
       13    0.122    0.009   47.778    3.675 Cut-and-Paste/dataset_generator.py:185(create_image_anno_wrapper)
       13    0.096    0.007   47.656    3.666 Cut-and-Paste/dataset_generator.py:194(create_image_anno)
     1053   35.541    0.034   35.541    0.034 {built-in method numpy.array}
  1092/15    0.064    0.000   29.241    1.949 <frozen importlib._bootstrap>:1022(_find_and_load)
  1058/15    0.052    0.000   29.237    1.949 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1486/16    0.025    0.000   29.208    1.826 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  1029/16    0.052    0.000   29.204    1.825 <frozen importlib._bootstrap>:664(_load_unlocked)
   857/15    0.023    0.000   29.195    1.946 <frozen importlib._bootstrap_external>:877(exec_module)
       73    0.005    0.000   28.381    0.389 Cut-and-Paste/dataset_generator.py:177(PIL2array3C)
 1124/274    0.061    0.000   23.702    0.087 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   654/82    0.010    0.000   23.500    0.287 {built-in method builtins.__import__}
        1    0.002    0.002   12.219   12.219 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/pyplot.py:1(<module>)
        1    0.000    0.000   11.730   11.730 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/src/Cut-and-Paste/pyblur_master/pyblur/__init__.py:1(<module>)
        1    0.000    0.000   11.726   11.726 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/src/Cut-and-Paste/pyblur_master/pyblur/LinearMotionBlur.py:1(<module>)
        1    0.000    0.000   11.515   11.515 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/signal/__init__.py:1(<module>)
2040/1917    0.065    0.000   10.996    0.006 {built-in method builtins.__build_class__}
      106    0.006    0.000    8.617    0.081 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:158(_update_set_signature_and_docstring)
      105    0.004    0.000    8.469    0.081 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:125(__init_subclass__)
       13    0.045    0.003    8.420    0.648 Cut-and-Paste/dataset_generator.py:39(LinearMotionBlur3C)
      189    0.011    0.000    7.517    0.040 Cut-and-Paste/dataset_generator.py:169(PIL2array1C)
